country,year,working_days,weekend1,weekend2
Oman,2019,246,Friday,Saturday
Pakistan,2019,238,Saturday,Sunday
Palau,2019,250,Saturday,Sunday
Panama,2019,302,Sunday,Sunday
Papua New Guinea,2019,252,Saturday,Sunday
Paraguay,2019,250,Saturday,Sunday
Peru,2019,249,Saturday,Sunday
Philippines,2019,244,Saturday,Sunday
Poland,2019,251,Saturday,Sunday
Portugal,2019,252,Saturday,Sunday
Puerto Rico,2019,256,Saturday,Sunday
Qatar,2019,246,Friday,Saturday
Republic of the Congo,2019,252,Saturday,Sunday
Romania,2019,249,Saturday,Sunday
Russia,2019,247,Saturday,Sunday
Rwanda,2019,249,Saturday,Sunday
Saint Barthélemy,2019,249,Saturday,Sunday
Saint Helena,2019,252,Saturday,Sunday
Saint Kitts and Nevis,2019,248,Saturday,Sunday
Saint Lucia,2019,248,Saturday,Sunday
Saint Martin,2019,251,Saturday,Sunday
Saint Pierre and Miquelon,2019,252,Saturday,Sunday
Saint Vincent and the Grenadines,2019,250,Saturday,Sunday
Samoa,2019,252,Saturday,Sunday
San Marino,2019,247,Saturday,Sunday
São Tomé and Príncipe,2019,254,Saturday,Sunday
Saudi Arabia,2019,253,Friday,Saturday
Senegal,2019,248,Saturday,Sunday
Serbia,2019,252,Saturday,Sunday
Seychelles,2019,250,Saturday,Sunday
Sierra Leone,2019,252,Saturday,Sunday
Singapore,2019,250,Saturday,Sunday
Sint Maarten,2019,250,Saturday,Sunday
Slovakia,2019,250,Saturday,Sunday
Slovenia,2019,249,Saturday,Sunday
Solomon Islands,2019,252,Saturday,Sunday
Somalia,2019,308,Friday,Friday
South Africa,2019,249,Saturday,Sunday
South Korea,2019,248,Saturday,Sunday
South Sudan,2019,252,Friday,Saturday
Spain,2019,253,Saturday,Sunday
Sri Lanka,2019,244,Saturday,Sunday
Sudan,2019,248,Friday,Saturday
Suriname,2019,246,Saturday,Sunday
Swaziland,2019,250,Saturday,Sunday
Sweden,2019,250,Saturday,Sunday
Switzerland,2019,260,Saturday,Sunday
Syria,2019,250,Friday,Saturday
Taiwan,2019,248,Saturday,Sunday
Tajikistan,2019,252,Saturday,Sunday
Tanzania,2019,249,Saturday,Sunday
Thailand,2019,240,Saturday,Sunday
The Netherlands,2019,254,Saturday,Sunday
Timor-Leste,2019,250,Saturday,Sunday
Togo,2019,251,Saturday,Sunday
Tonga,2019,246,Saturday,Sunday
Trinidad and Tobago,2019,247,Saturday,Sunday
Tunisia,2019,250,Saturday,Sunday
Turkey,2019,247,Saturday,Sunday
Turkmenistan,2019,252,Saturday,Sunday
Turks and Caicos Islands,2019,249,Saturday,Sunday
Tuvalu,2019,250,Saturday,Sunday
U.S. Virgin Islands,2019,246,Saturday,Sunday
Uganda,2019,251,Saturday,Sunday
Ukraine,2019,250,Saturday,Sunday
United Arab Emirates,2019,249,Friday,Saturday
United Kingdom,2019,255,Saturday,Sunday
United States,2019,250,Saturday,Sunday
Uruguay,2019,257,Saturday,Sunday
Uzbekistan,2019,255,Saturday,Sunday
Vanuatu,2019,248,Saturday,Sunday
Vatican City,2019,247,Saturday,Sunday
Venezuela,2019,243,Saturday,Sunday
Vietnam,2019,252,Saturday,Sunday
Wallis and Futuna,2019,251,Saturday,Sunday
Yemen,2019,249,Friday,Saturday
Zambia,2019,248,Saturday,Sunday
Zimbabwe,2019,249,Saturday,Sunday
